City_ID,City,Country,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Current Description
124,Severo-Yeniseyskiy,RU,60.3725,93.0408,45.61,81,49,4.83,light rain
125,Brokopondo,SR,4.75,-55.1667,80.49,82,71,4.45,broken clouds
126,Kodiak,US,57.79,-152.4072,45.91,87,100,13.8,overcast clouds
127,Rio Gallegos,AR,-51.6226,-69.2181,42.85,87,75,19.57,broken clouds
128,Qena,EG,26.1615,32.7183,91.33,10,80,10.83,broken clouds
129,Georgetown,MY,5.4112,100.3354,82.35,83,20,0.0,few clouds
130,Sisimiut,GL,66.9395,-53.6735,40.15,53,66,5.64,broken clouds
131,Te Anau,NZ,-45.4167,167.7167,43.14,83,92,3.87,overcast clouds
132,Aitape,PG,-3.1374,142.3475,77.07,88,83,2.86,broken clouds
133,Shimoda,JP,34.6667,138.95,66.42,86,100,4.9,overcast clouds
134,Praia,CV,14.9215,-23.5087,74.48,76,60,17.98,broken clouds
135,Pag,HR,44.445,15.0575,73.98,56,20,3.51,few clouds
136,Aonla,IN,28.2833,79.15,95.95,13,3,4.92,clear sky
137,San-Pedro,CI,4.7485,-6.6363,77.47,90,100,9.04,moderate rain
138,Onokhoy,RU,51.932,108.0747,58.75,53,34,1.77,scattered clouds
139,Chapaevsk,RU,52.9813,49.7112,44.15,74,100,12.12,overcast clouds
140,Tarnos,FR,43.5417,-1.4628,70.81,81,100,2.3,overcast clouds
141,Vila Velha,BR,-20.3297,-40.2925,76.95,50,20,14.97,few clouds
142,Borgarnes,IS,64.5383,-21.9206,50.81,63,99,5.75,overcast clouds
143,Tiksi,RU,71.6872,128.8694,30.81,84,100,7.54,overcast clouds
144,Linxia,CN,35.6003,103.2064,53.67,82,100,2.44,overcast clouds
145,Obzor,BG,42.8167,27.8833,64.94,68,18,8.46,few clouds
146,Arraial Do Cabo,BR,-22.9661,-42.0278,69.91,73,29,22.79,scattered clouds
147,Southbridge,US,42.0751,-72.0334,79.18,59,21,3.0,few clouds
148,Denpasar,ID,-8.65,115.2167,80.26,88,40,1.14,scattered clouds
149,Marsh Harbour,BS,26.5412,-77.0636,81.16,74,100,13.0,overcast clouds
150,Saint George,US,37.1041,-113.5841,72.63,14,7,7.0,clear sky
151,Malanje,AO,-9.5402,16.341,67.87,51,25,2.35,scattered clouds
152,Barrow,US,71.2906,-156.7887,30.22,93,100,14.97,fog
153,Twin Falls,US,42.3505,-114.6445,47.93,40,53,11.23,broken clouds
154,Pevek,RU,69.7008,170.3133,33.04,96,96,5.77,overcast clouds
155,Killybegs,IE,54.6333,-8.45,55.11,84,54,20.24,broken clouds
156,Susehri,TR,40.1644,38.0867,43.48,77,29,4.34,scattered clouds
157,Cidreira,BR,-30.1811,-50.2056,62.15,61,0,9.22,clear sky
158,Mehamn,NO,71.0357,27.8492,39.15,65,0,10.36,clear sky
159,Vanavara,RU,60.34,102.2797,50.99,80,98,3.31,overcast clouds
160,Sioux Lookout,CA,50.1001,-91.917,37.47,93,100,10.36,light intensity drizzle
161,Ambanja,MG,-13.6833,48.45,74.73,82,44,3.42,scattered clouds
162,Hilo,US,19.7297,-155.09,87.28,87,63,4.0,broken clouds
163,Xai-Xai,MZ,-25.0519,33.6442,71.58,73,60,7.74,broken clouds
164,Shadegan,IR,30.6497,48.6647,99.41,10,0,8.86,clear sky
165,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,69.66,99,100,0.98,overcast clouds
166,Vila,PT,42.0304,-8.1588,77.7,43,78,4.94,broken clouds
