City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Saucillo,MX,2022-05-14 19:49:50,28.0167,-105.2833,94.89,9,4,4.41
95,Tateyama,JP,2022-05-14 19:50:50,34.9833,139.8667,64.09,84,95,24.43
96,Sokoni,TZ,2022-05-14 19:50:51,-6.4333,39.55,80.46,74,29,14.07
97,Upernavik,GL,2022-05-14 19:50:52,72.7868,-56.1549,19.65,79,13,5.14
98,Ahuimanu,US,2022-05-14 19:50:52,21.4447,-157.8378,82.11,62,20,14.97
99,Tasiilaq,GL,2022-05-14 19:50:53,65.6145,-37.6368,30.04,65,100,2.06
100,Provideniya,RU,2022-05-14 19:50:53,64.3833,-173.3,35.42,95,100,5.08
101,Altos,BR,2022-05-14 19:50:54,-5.0381,-42.46,86.31,69,100,0.78
102,Lodja,CD,2022-05-14 19:50:54,-3.4833,23.4333,75.15,67,25,1.77
103,Touros,BR,2022-05-14 19:50:55,-5.1989,-35.4608,80.55,81,86,13.42
104,Tomatlan,MX,2022-05-14 19:50:56,19.9333,-105.25,89.35,41,92,12.68
105,Port Alfred,ZA,2022-05-14 19:50:56,-33.5906,26.891,61.09,80,2,2.46
106,Bluff,NZ,2022-05-14 19:50:57,-46.6,168.3333,42.8,78,100,7.23
107,Bedele,ET,2022-05-14 19:50:57,8.456,36.353,60.26,85,89,4.18
108,Urucara,BR,2022-05-14 19:50:58,-2.5364,-57.76,83.19,83,100,3.47
109,Kulti,IN,2022-05-14 19:50:58,23.7333,86.85,86.72,61,54,11.43
110,Labuhan,ID,2022-05-14 19:50:59,-6.8844,112.2051,79.97,83,83,4.56
111,Castro,BR,2022-05-14 19:51:00,-24.7911,-50.0119,64.02,72,100,3.83
112,Bathsheba,BB,2022-05-14 19:51:00,13.2167,-59.5167,84.81,65,20,19.57
113,Avarua,CK,2022-05-14 19:51:01,-21.2078,-159.775,77.05,88,100,25.32
114,Zhigansk,RU,2022-05-14 19:51:01,66.7697,123.3711,19.44,83,11,9.78
115,Longyearbyen,SJ,2022-05-14 19:51:02,78.2186,15.6401,28.24,69,75,5.75
116,Butaritari,KI,2022-05-14 19:51:03,3.0707,172.7902,80.58,75,19,8.9
117,Richards Bay,ZA,2022-05-14 19:51:03,-28.783,32.0377,67.53,92,95,6.44
118,Funadhoo,MV,2022-05-14 19:51:04,6.15,73.2667,79.97,90,100,20.94
119,Leningradskiy,RU,2022-05-14 19:51:04,69.3833,178.4167,34.93,95,100,4.61
120,Berlevag,NO,2022-05-14 19:51:05,70.8578,29.0864,39.15,81,20,3.44
121,Katobu,ID,2022-05-14 19:51:06,-4.9408,122.5276,74.82,91,19,2.28
122,Flagstaff,US,2022-05-14 19:51:06,35.1981,-111.6513,84.09,9,4,3.0
123,La Ronge,CA,2022-05-14 19:51:07,55.1001,-105.2842,37.65,87,40,12.66
124,Komsomolskiy,UZ,2022-05-14 19:51:07,40.4272,71.7189,60.82,76,100,4.0
125,Shilong,CN,2022-05-14 19:51:08,23.1123,113.8425,73.53,95,100,4.68
126,Slonim,BY,2022-05-14 19:51:09,53.0867,25.3219,48.81,89,27,10.65
127,Hobart,AU,2022-05-14 19:50:07,-42.8794,147.3294,60.26,76,75,4.61
128,Ngunguru,NZ,2022-05-14 19:51:09,-35.6167,174.5,57.22,90,83,8.12
129,Ortakoy,TR,2022-05-14 19:51:10,38.7373,34.0387,59.25,58,98,5.19
130,Necochea,AR,2022-05-14 19:48:07,-38.5473,-58.7368,53.85,58,2,15.14
131,Windhoek,NA,2022-05-14 19:51:11,-22.5594,17.0832,62.8,27,0,4.61
132,Xunchang,CN,2022-05-14 19:51:11,28.4543,104.715,55.8,97,100,0.4
133,Vardo,NO,2022-05-14 19:51:12,70.3705,31.1107,39.18,93,14,2.3
134,Kahului,US,2022-05-14 19:46:46,20.8947,-156.47,80.96,61,20,19.57
135,Moundou,TD,2022-05-14 19:51:12,8.5667,16.0833,87.21,42,67,2.84
136,Bredasdorp,ZA,2022-05-14 19:51:13,-34.5322,20.0403,54.52,79,6,1.5
137,Alofi,NU,2022-05-14 19:50:41,-19.0595,-169.9187,75.09,64,79,9.22
138,Babati,TZ,2022-05-14 19:51:14,-4.2167,35.75,60.53,87,30,2.15
139,Superior,US,2022-05-14 19:52:02,46.7208,-92.1041,76.44,35,40,23.02
140,Fukue,JP,2022-05-14 19:52:14,32.6881,128.8419,62.73,53,95,18.68
141,Turukhansk,RU,2022-05-14 19:52:15,65.8167,87.9833,47.07,72,79,6.67
142,Shelburne,CA,2022-05-14 19:52:15,44.0787,-80.2041,81.05,53,63,8.46
143,Zyryanka,RU,2022-05-14 19:52:16,65.75,150.85,24.06,88,68,6.58
144,Antofagasta,CL,2022-05-14 19:52:16,-23.65,-70.4,61.88,70,21,7.25
145,Chernelytsya,UA,2022-05-14 19:52:17,48.8121,25.4248,49.91,85,15,5.19
146,Kungurtug,RU,2022-05-14 19:52:17,50.5994,97.5228,40.87,45,11,1.66
147,Ust-Nera,RU,2022-05-14 19:52:18,64.5667,143.2,27.93,93,91,3.06
148,Kavieng,PG,2022-05-14 19:52:19,-2.5744,150.7967,81.41,73,19,7.99
149,Chuy,UY,2022-05-14 19:52:19,-33.6971,-53.4616,62.1,76,83,6.55
150,Kavaratti,IN,2022-05-14 19:52:20,10.5669,72.642,81.93,76,100,19.46
151,Comodoro Rivadavia,AR,2022-05-14 19:52:20,-45.8667,-67.5,57.06,33,0,12.66
152,Bengkulu,ID,2022-05-14 19:52:21,-3.8004,102.2655,78.48,91,60,4.81
153,Aasiaat,GL,2022-05-14 19:52:22,68.7098,-52.8699,26.69,70,67,7.38
154,Dingle,PH,2022-05-14 19:52:22,10.9995,122.6711,77.09,89,97,3.51
155,Mayumba,GA,2022-05-14 19:52:23,-3.432,10.6554,77.72,93,73,7.09
156,Kapaa,US,2022-05-14 19:52:23,22.0752,-159.319,80.58,80,75,14.97
157,Norman Wells,CA,2022-05-14 19:52:24,65.282,-126.8329,39.24,70,75,24.16
158,Kilemary,RU,2022-05-14 19:52:25,56.7783,46.8659,44.01,95,25,6.71
159,Nanortalik,GL,2022-05-14 19:52:25,60.1432,-45.2371,32.29,78,98,2.89
160,Severo-Kurilsk,RU,2022-05-14 19:52:26,50.6789,156.125,38.41,93,100,29.1
161,Caravelas,BR,2022-05-14 19:52:26,-17.7125,-39.2481,75.11,73,100,8.23
162,Barrow,US,2022-05-14 19:52:27,71.2906,-156.7887,24.82,86,100,14.97
163,Tuatapere,NZ,2022-05-14 19:52:27,-46.1333,167.6833,43.9,93,99,3.87
164,Cabo San Lucas,MX,2022-05-14 19:52:28,22.8909,-109.9124,87.62,51,99,7.0
165,Mayo,US,2022-05-14 19:52:28,38.8876,-76.5119,70.56,93,100,5.75
166,Conceicao Do Castelo,BR,2022-05-14 19:52:29,-20.3683,-41.2439,66.92,84,100,3.09
167,Lagoa,PT,2022-05-14 19:52:30,39.05,-27.9833,59.74,76,0,30.82
168,Kruisfontein,ZA,2022-05-14 19:52:30,-34.0033,24.7314,51.89,88,2,5.82
169,Mount Isa,AU,2022-05-14 19:52:31,-20.7333,139.5,51.57,93,10,0.0
170,Bambous Virieux,MU,2022-05-14 19:52:32,-20.3428,57.7575,75.45,73,20,6.91
171,Portland,US,2022-05-14 19:48:50,45.5234,-122.6762,66.24,77,75,13.8
172,Luderitz,NA,2022-05-14 19:52:32,-26.6481,15.1594,61.3,50,13,13.09
173,Menongue,AO,2022-05-14 19:52:33,-14.6585,17.691,61.32,50,1,3.67
174,Bac Lieu,VN,2022-05-14 19:52:33,9.285,105.7244,82.94,81,100,4.23
175,Dicabisagan,PH,2022-05-14 19:52:34,17.0818,122.4157,77.45,87,96,3.42
